Id,Rating
1,3
2,2
3,4
4,4
5,3
6,2
7,4
8,4
9,3
10,4
11,3
12,3
13,4
14,4
15,4
16,3
17,3
18,3
19,5
20,2
21,4
22,3
23,2
24,4
25,3
26,4
27,3
28,3
29,4
30,3
31,4
32,3
33,3
34,4
35,4
36,3
37,3
38,3
39,3
40,4
41,3
42,1
43,4
44,3
45,4
46,4
47,3
48,3
49,3
50,3
51,3
52,3
53,4
54,4
55,3
56,3
57,3
58,4
59,4
60,3
61,4
62,3
63,2
64,3
65,4
66,2
67,4
68,1
69,4
70,3
71,2
72,3
73,4
74,3
75,2
76,5
77,4
78,3
79,4
80,5
81,4
82,3
83,4
84,4
85,4
86,4
87,4
88,3
89,5
90,4
91,3
92,4
93,4
94,4
95,4
96,3
97,4
98,3
99,4
100,4
101,4
102,3
103,4
104,4
105,4
106,4
107,4
108,3
109,4
110,4
111,3
112,4
113,5
114,4
115,4
116,3
117,4
118,4
119,4
120,4
121,4
122,3
123,4
124,4
125,5
126,4
127,3
128,3
129,4
130,4
131,3
132,4
133,4
134,2
135,4
136,4
137,4
138,4
139,4
140,4
141,3
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,5
153,4
154,3
155,4
156,4
157,4
158,3
159,2
160,2
161,4
162,4
163,3
164,4
165,4
166,3
167,3
168,4
169,4
170,3
171,2
172,4
173,4
174,4
175,3
176,3
177,4
178,4
179,3
180,4
181,3
182,4
183,4
184,4
185,4
186,3
187,5
188,4
189,3
190,4
191,4
192,4
193,4
194,3
195,3
196,3
197,4
198,3
199,2
200,2
201,2
202,4
203,5
204,3
205,4
206,4
207,4
208,4
209,2
210,3
211,4
212,3
213,5
214,4
215,4
216,4
217,4
218,4
219,4
220,5
221,3
222,4
223,3
224,3
225,2
226,2
227,5
228,3
229,5
230,3
231,3
232,4
233,3
234,4
235,4
236,4
237,4
238,4
239,3
240,3
241,3
242,4
243,2
244,4
245,4
246,3
247,3
248,3
249,4
250,3
251,4
252,4
253,3
254,3
255,4
256,4
257,5
258,3
259,4
260,4
261,3
262,4
263,3
264,4
265,4
266,2
267,4
268,4
269,3
270,3
271,3
272,4
273,4
274,4
275,3
276,3
277,4
278,4
279,4
280,4
281,4
282,3
283,4
284,4
285,4
286,3
287,4
288,4
289,3
290,4
291,5
292,4
293,3
294,4
295,3
296,2
297,4
298,4
299,3
300,4
301,4
302,3
303,3
304,2
305,3
306,2
307,4
308,3
309,3
310,2
311,4
312,3
313,3
314,3
315,2
316,5
317,4
318,4
319,4
320,4
321,4
322,3
323,3
324,4
325,2
326,4
327,4
328,4
329,4
330,5
331,4
332,4
333,3
334,3
335,3
336,4
337,3
338,4
339,2
340,4
341,4
342,3
343,4
344,4
345,3
346,3
347,4
348,4
349,3
350,5
351,3
352,2
353,4
354,4
355,4
356,4
357,2
358,4
359,3
360,3
361,4
362,3
363,4
364,4
365,4
366,4
367,3
368,4
369,3
370,4
371,4
372,3
373,4
374,4
375,2
376,5
377,3
378,4
379,3
380,3
381,4
382,4
383,5
384,3
385,3
386,3
387,4
388,4
389,4
390,4
391,4
392,4
393,4
394,4
395,4
396,3
397,3
398,4
399,3
400,4
401,4
402,4
403,4
404,4
405,3
406,3
407,5
408,3
409,3
410,4
411,3
412,3
413,3
